time,stl1Mean,stl2Mean,stl3Mean,stl4Mean,SKTMean,depth1,srcMean,T2mMean,swl1Mean,swl2Mean,swl3Mean,swl4Mean,TPMean,time,depth2,depth3,depth4
2019/3/30,-1.12757,-1.1829575,-1.8171175,-1.5026,-10.8286175,7,1.16E-06,-11.36176,0.364860533,0.360088353,0.325035095,0.380973825,0.001920211,1,21,72,189
2019/3/31,-1.863865,-1.6732525,-1.7661525,-1.4884975,-13.1390275,7,5.74E-07,-9.96331,0.3641243,0.359855655,0.325172423,0.380939483,0.000293399,1,21,72,189
2019/4/1,-1.7600175,-1.8131175,-1.81025,-1.474465,-8.78043,7,3.65E-07,-6.6892325,0.368541718,0.360019685,0.325309755,0.38090515,2.15E-07,1,21,72,189
2019/4/2,-0.84409,-1.2989875,-1.769265,-1.462435,-3.72784,7,5.66E-07,-3.0602475,0.375522613,0.361953738,0.325466155,0.380870823,7.94E-06,1,21,72,189
2019/4/3,-0.4024125,-0.8141225,-1.6153,-1.446815,-2.7185,7,7.08E-07,-3.75791,0.375492095,0.364486695,0.325721742,0.38083649,0.000132123,1,21,72,189
2019/4/4,0.0164725,-0.621865,-1.47251,-1.4256375,-1.1251175,7,5.14E-07,-3.37493,0.373325353,0.365879058,0.326080323,0.380802155,5.76E-05,1,21,72,189
2019/4/5,1.2857575,0.00289,-1.2908075,-1.4006725,1.5627225,7,1.04E-07,0.1912525,0.36606598,0.36605835,0.326595305,0.38076782,1.70E-06,1,21,72,189
2019/4/6,2.336485,0.6996125,-1.035895,-1.3678925,3.6826875,7,2.94E-06,1.34833,0.355335237,0.36445236,0.327232365,0.380737303,3.73E-05,1,21,72,189
2019/4/7,1.94964,0.945455,-0.7826625,-1.3267275,1.8204,7,1.55E-06,-1.6860675,0.349941255,0.361721035,0.327884675,0.380702983,0.002434153,1,21,72,189
2019/4/8,2.6996975,1.2606775,-0.5911625,-1.2799425,3.202285,7,3.95E-07,-0.6300775,0.355075835,0.360008245,0.328483585,0.380680085,0.001567128,1,21,72,189
2019/4/9,2.58111,1.4376775,-0.42139,-1.2289525,1.3431975,7,7.23E-07,-2.7572375,0.356327058,0.359104158,0.329097745,0.380649563,0.003340916,1,21,72,189
2019/4/10,1.555565,1.2458125,-0.2956025,-1.1751175,-3.4240825,7,9.09E-07,-5.827705,0.351955413,0.357624055,0.329681395,0.380638125,0.002774737,1,21,72,189
2019/4/11,1.091055,0.9612425,-0.2284275,-1.119635,-5.8868425,7,2.32E-06,-6.49076,0.35106659,0.355937955,0.330135347,0.380622865,0.001014913,1,21,72,189
2019/4/12,0.3939425,0.603265,-0.210945,-1.0651625,-10.6738775,7,3.96E-06,-7.2544975,0.356029505,0.355091095,0.330482483,0.380611418,0.000641789,1,21,72,189
2019/4/13,0.3337025,0.2900075,-0.240395,-1.0134,-6.7301125,7,8.98E-06,-5.49381,0.36103057,0.355201718,0.330768588,0.380603793,0.000404701,1,21,72,189
2019/4/14,0.9668825,0.4686575,-0.2589775,-0.96494,-1.2043725,7,8.30E-06,-2.36414,0.37486267,0.357509615,0.331050873,0.380588535,0.001336293,1,21,72,189
2019/4/15,0.6231025,0.575495,-0.2333125,-0.9179775,-4.68802,7,9.25E-06,-4.877295,0.371749878,0.359878545,0.331451418,0.38058472,0.004840395,1,21,72,189
2019/4/16,0.0146425,0.253565,-0.239725,-0.87275,-12.11382,7,1.01E-05,-6.4419325,0.368083955,0.359382628,0.331806183,0.38056946,0.001121175,1,21,72,189
2019/4/17,-0.6143275,-0.271395,-0.30567,-0.830725,-10.227695,7,1.03E-05,-3.4944125,0.372947695,0.359161375,0.332057953,0.38056183,4.34E-05,1,21,72,189
2019/4/18,-0.426365,-0.40055,-0.404485,-0.7923075,-2.59226,7,6.86E-06,-0.33619,0.402343753,0.365596773,0.332382203,0.380558015,0.000959763,1,21,72,189
2019/4/19,-0.4922225,-0.337865,-0.4692425,-0.760165,-10.48075,7,6.77E-06,-7.221015,0.40442276,0.37040329,0.333084108,0.380542755,0.004655533,1,21,72,189
2019/4/20,-1.18827,-0.8275825,-0.568425,-0.731145,-14.4418675,7,7.25E-06,-9.88674,0.401645658,0.36899185,0.33362198,0.38053894,0.000844949,1,21,72,189
2019/4/21,-1.50608,-1.15296,-0.74109,-0.70862,-11.8482875,7,7.85E-06,-6.6762775,0.400382995,0.36775589,0.333980565,0.38052368,3.79E-05,1,21,72,189
2019/4/22,-1.86347,-1.458595,-0.9402825,-0.6938525,-12.7822775,7,8.18E-06,-5.454535,0.40343094,0.367404935,0.33423233,0.38052368,2.88E-06,1,21,72,189
2019/4/23,-1.90604,-1.627995,-1.12449,-0.68735,-7.76206,7,4.81E-06,-2.58817,0.40824509,0.370288853,0.33452606,0.38052368,5.00E-07,1,21,72,189
2019/4/24,-1.357125,-1.479925,-1.2440875,-0.6874775,-0.35319,7,4.87E-06,-1.1021775,0.408573153,0.374103543,0.335159295,0.380512235,0.001504202,1,21,72,189
2019/4/25,-1.10734,-1.3043275,-1.2839425,-0.6902525,-4.67289,7,3.51E-06,-3.4638475,0.408309935,0.374519348,0.336109165,0.380512235,0.001483466,1,21,72,189
2019/4/26,-1.1200925,-1.3379875,-1.3093325,-0.6937625,-3.264625,7,6.04E-06,-3.2017,0.406974792,0.373710633,0.337005618,0.38052368,0.000877082,1,21,72,189
